データNo.,MD計算要素,平均値,標準偏差,コメント
0,1,20.36,13.15,＊＊＊
1,1,33.34,0.93,＊＊＊
2,1,182.7,69.71,＊＊＊
3,1,13.09,35.89,＊＊＊
4,1,21.72,14,＊＊＊
5,1,44.85,4.95,＊＊＊
6,1,31.42,8.18,＊＊＊
7,1,0.97,0.27,＊＊＊
8,1,0.46,0.01,＊＊＊
9,1,2.59,0.28,＊＊＊
10,1,2958.27,788.01,＊＊＊
11,1,7.68,1.07,＊＊＊
12,1,26.7,15.4,＊＊＊
13,0,-1,-1,＊＊＊
14,0,-1,-1,＊＊＊
15,0,-1,-1,＊＊＊
16,0,-1,-1,＊＊＊
17,0,-1,-1,＊＊＊
18,0,-1,-1,＊＊＊
19,0,-1,-1,＊＊＊
20,0,-1,-1,＊＊＊
21,0,-1,-1,＊＊＊
22,0,-1,-1,＊＊＊
23,0,-1,-1,＊＊＊
24,0,-1,-1,＊＊＊
25,0,-1,-1,＊＊＊
26,0,-1,-1,＊＊＊
27,0,-1,-1,＊＊＊
28,0,-1,-1,＊＊＊
29,0,-1,-1,＊＊＊
30,0,-1,-1,＊＊＊
31,0,-1,-1,＊＊＊
32,0,-1,-1,＊＊＊
33,0,-1,-1,＊＊＊
34,0,-1,-1,＊＊＊
35,0,-1,-1,＊＊＊
36,0,-1,-1,＊＊＊
37,0,-1,-1,＊＊＊
38,0,-1,-1,＊＊＊
39,0,-1,-1,＊＊＊
40,0,-1,-1,＊＊＊
41,0,-1,-1,＊＊＊
42,0,-1,-1,＊＊＊
43,0,-1,-1,＊＊＊
44,0,-1,-1,＊＊＊
45,0,-1,-1,＊＊＊
46,0,-1,-1,＊＊＊
47,0,-1,-1,＊＊＊
48,0,-1,-1,＊＊＊
49,0,-1,-1,＊＊＊
50,0,-1,-1,＊＊＊
51,0,-1,-1,＊＊＊
52,0,-1,-1,＊＊＊
53,0,-1,-1,＊＊＊
54,0,-1,-1,＊＊＊
55,0,-1,-1,＊＊＊
56,0,-1,-1,＊＊＊
57,0,-1,-1,＊＊＊
58,0,-1,-1,＊＊＊
59,0,-1,-1,＊＊＊
60,0,-1,-1,＊＊＊
61,0,-1,-1,＊＊＊
62,0,-1,-1,＊＊＊
63,0,-1,-1,＊＊＊
64,0,-1,-1,＊＊＊
65,0,-1,-1,＊＊＊
66,0,-1,-1,＊＊＊
67,0,-1,-1,＊＊＊
